project,use_br,use_stopword,stage2,adddel,diff_type,DependentName,DependentValue
JacksonCore-5b,True,True,skip,add,no_diff,rank,2
JacksonCore-6b,True,True,skip,add,no_diff,rank,2
JacksonCore-8b,True,True,skip,add,no_diff,rank,3
Jsoup-27b,True,True,skip,add,no_diff,rank,5
Jsoup-4b,True,True,skip,add,no_diff,rank,2
Jsoup-85b,True,True,skip,add,no_diff,rank,1
Jsoup-9b,True,True,skip,add,no_diff,rank,7
Lang-13b,True,True,skip,add,no_diff,rank,2
Lang-14b,True,True,skip,add,no_diff,rank,1
Lang-19b,True,True,skip,add,no_diff,rank,1
Lang-21b,True,True,skip,add,no_diff,rank,2
Lang-22b,True,True,skip,add,no_diff,rank,4
Lang-25b,True,True,skip,add,no_diff,rank,1
Lang-26b,True,True,skip,add,no_diff,rank,2
Lang-28b,True,True,skip,add,no_diff,rank,1
Lang-31b,True,True,skip,add,no_diff,rank,1
Lang-39b,True,True,skip,add,no_diff,rank,1
Lang-4b,True,True,skip,add,no_diff,rank,2
Lang-40b,True,True,skip,add,no_diff,rank,1
Lang-43b,True,True,skip,add,no_diff,rank,5
Lang-44b,True,True,skip,add,no_diff,rank,2
Lang-45b,True,True,skip,add,no_diff,rank,1
Lang-46b,True,True,skip,add,no_diff,rank,4
Lang-47b,True,True,skip,add,no_diff,rank,4
Lang-48b,True,True,skip,add,no_diff,rank,5
Lang-49b,True,True,skip,add,no_diff,rank,6
Lang-51b,True,True,skip,add,no_diff,rank,2
Lang-52b,True,True,skip,add,no_diff,rank,1
Lang-53b,True,True,skip,add,no_diff,rank,1
Lang-54b,True,True,skip,add,no_diff,rank,2
Lang-55b,True,True,skip,add,no_diff,rank,1
Lang-57b,True,True,skip,add,no_diff,rank,2
Lang-6b,True,True,skip,add,no_diff,rank,3
Lang-60b,True,True,skip,add,no_diff,rank,4
Lang-61b,True,True,skip,add,no_diff,rank,3
Lang-64b,True,True,skip,add,no_diff,rank,1
Math-10b,True,True,skip,add,no_diff,rank,30
Math-101b,True,True,skip,add,no_diff,rank,1
Math-103b,True,True,skip,add,no_diff,rank,1
Math-104b,True,True,skip,add,no_diff,rank,6
Math-105b,True,True,skip,add,no_diff,rank,3
Math-106b,True,True,skip,add,no_diff,rank,1
Math-14b,True,True,skip,add,no_diff,rank,2
Math-15b,True,True,skip,add,no_diff,rank,36
Math-17b,True,True,skip,add,no_diff,rank,1
Math-2b,True,True,skip,add,no_diff,rank,16
Math-23b,True,True,skip,add,no_diff,rank,11
Math-24b,True,True,skip,add,no_diff,rank,10
Math-25b,True,True,skip,add,no_diff,rank,1
Math-26b,True,True,skip,add,no_diff,rank,4
Math-28b,True,True,skip,add,no_diff,rank,13
Math-3b,True,True,skip,add,no_diff,rank,2
Math-35b,True,True,skip,add,no_diff,rank,3
Math-42b,True,True,skip,add,no_diff,rank,24
Math-45b,True,True,skip,add,no_diff,rank,4
Math-46b,True,True,skip,add,no_diff,rank,1
Math-48b,True,True,skip,add,no_diff,rank,15
Math-50b,True,True,skip,add,no_diff,rank,24
Math-53b,True,True,skip,add,no_diff,rank,5
Math-54b,True,True,skip,add,no_diff,rank,1
Math-55b,True,True,skip,add,no_diff,rank,5
Math-60b,True,True,skip,add,no_diff,rank,36
Math-63b,True,True,skip,add,no_diff,rank,3
Math-64b,True,True,skip,add,no_diff,rank,6
Math-70b,True,True,skip,add,no_diff,rank,2
Math-75b,True,True,skip,add,no_diff,rank,5
Math-79b,True,True,skip,add,no_diff,rank,4
Math-87b,True,True,skip,add,no_diff,rank,2
Math-88b,True,True,skip,add,no_diff,rank,3
Math-89b,True,True,skip,add,no_diff,rank,2
Math-92b,True,True,skip,add,no_diff,rank,7
Math-93b,True,True,skip,add,no_diff,rank,4
Math-94b,True,True,skip,add,no_diff,rank,1
Math-96b,True,True,skip,add,no_diff,rank,5
Math-97b,True,True,skip,add,no_diff,rank,2
Mockito-8b,True,True,skip,add,no_diff,rank,2
Time-1b,True,True,skip,add,no_diff,rank,6
Time-11b,True,True,skip,add,no_diff,rank,4
Time-15b,True,True,skip,add,no_diff,rank,3
Time-16b,True,True,skip,add,no_diff,rank,1
Time-2b,True,True,skip,add,no_diff,rank,5
Time-7b,True,True,skip,add,no_diff,rank,1
Cli-29b,False,True,skip,add,git,rank,2
Closure-10b,False,True,skip,add,git,rank,128
Closure-104b,False,True,skip,add,git,rank,3
Closure-113b,False,True,skip,add,git,rank,276
Closure-115b,False,True,skip,add,git,rank,169
Closure-120b,False,True,skip,add,git,rank,194
Closure-121b,False,True,skip,add,git,rank,351
Closure-128b,False,True,skip,add,git,rank,84
Closure-133b,False,True,skip,add,git,rank,8
Closure-17b,False,True,skip,add,git,rank,245
Closure-2b,False,True,skip,add,git,rank,137
Closure-21b,False,True,skip,add,git,rank,7
Closure-27b,False,True,skip,add,git,rank,1
Closure-30b,False,True,skip,add,git,rank,120
Closure-31b,False,True,skip,add,git,rank,11
Closure-33b,False,True,skip,add,git,rank,452
Closure-48b,False,True,skip,add,git,rank,242
Closure-52b,False,True,skip,add,git,rank,31
Closure-59b,False,True,skip,add,git,rank,85
Closure-60b,False,True,skip,add,git,rank,129
Closure-61b,False,True,skip,add,git,rank,177
Closure-62b,False,True,skip,add,git,rank,5
Closure-64b,False,True,skip,add,git,rank,202
Closure-65b,False,True,skip,add,git,rank,20
Closure-66b,False,True,skip,add,git,rank,17
Closure-68b,False,True,skip,add,git,rank,2
Closure-73b,False,True,skip,add,git,rank,2
Closure-74b,False,True,skip,add,git,rank,30
Closure-76b,False,True,skip,add,git,rank,44
Closure-8b,False,True,skip,add,git,rank,95
Closure-80b,False,True,skip,add,git,rank,7
Closure-82b,False,True,skip,add,git,rank,22
Closure-85b,False,True,skip,add,git,rank,25
Closure-91b,False,True,skip,add,git,rank,26
Closure-92b,False,True,skip,add,git,rank,83
Closure-99b,False,True,skip,add,git,rank,12
Codec-10b,False,True,skip,add,git,rank,3
Codec-18b,False,True,skip,add,git,rank,1
Codec-3b,False,True,skip,add,git,rank,4
Compress-26b,False,True,skip,add,git,rank,1
Compress-39b,False,True,skip,add,git,rank,1
Compress-44b,False,True,skip,add,git,rank,1
Compress-7b,False,True,skip,add,git,rank,1
Compress-8b,False,True,skip,add,git,rank,1
Gson-15b,False,True,skip,add,git,rank,1
JacksonCore-14b,False,True,skip,add,git,rank,3
JacksonCore-4b,False,True,skip,add,git,rank,2
JacksonCore-5b,False,True,skip,add,git,rank,2
JacksonCore-6b,False,True,skip,add,git,rank,1
JacksonCore-8b,False,True,skip,add,git,rank,2
Jsoup-27b,False,True,skip,add,git,rank,5
Jsoup-4b,False,True,skip,add,git,rank,2
Jsoup-85b,False,True,skip,add,git,rank,4
Jsoup-9b,False,True,skip,add,git,rank,5
Lang-13b,False,True,skip,add,git,rank,1
Lang-14b,False,True,skip,add,git,rank,3
Lang-19b,False,True,skip,add,git,rank,1
Lang-21b,False,True,skip,add,git,rank,4
Lang-22b,False,True,skip,add,git,rank,3
Lang-25b,False,True,skip,add,git,rank,2
Lang-26b,False,True,skip,add,git,rank,1
Lang-28b,False,True,skip,add,git,rank,1
Lang-31b,False,True,skip,add,git,rank,1
Lang-39b,False,True,skip,add,git,rank,1
Lang-4b,False,True,skip,add,git,rank,4
Lang-40b,False,True,skip,add,git,rank,1
Lang-43b,False,True,skip,add,git,rank,6
Lang-44b,False,True,skip,add,git,rank,2
Lang-45b,False,True,skip,add,git,rank,1
Lang-46b,False,True,skip,add,git,rank,4
Lang-47b,False,True,skip,add,git,rank,2
Lang-48b,False,True,skip,add,git,rank,3
Lang-49b,False,True,skip,add,git,rank,1
Lang-51b,False,True,skip,add,git,rank,2
Lang-52b,False,True,skip,add,git,rank,1
Lang-53b,False,True,skip,add,git,rank,1
Lang-54b,False,True,skip,add,git,rank,2
Lang-55b,False,True,skip,add,git,rank,1
Lang-57b,False,True,skip,add,git,rank,2
Lang-6b,False,True,skip,add,git,rank,2
Lang-60b,False,True,skip,add,git,rank,4
Lang-61b,False,True,skip,add,git,rank,3
Lang-64b,False,True,skip,add,git,rank,1
Math-10b,False,True,skip,add,git,rank,7
Math-101b,False,True,skip,add,git,rank,1
Math-103b,False,True,skip,add,git,rank,1
Math-104b,False,True,skip,add,git,rank,2
Math-105b,False,True,skip,add,git,rank,6
Math-106b,False,True,skip,add,git,rank,1
Math-14b,False,True,skip,add,git,rank,4
Math-15b,False,True,skip,add,git,rank,37
Math-17b,False,True,skip,add,git,rank,1
Math-2b,False,True,skip,add,git,rank,34
Math-23b,False,True,skip,add,git,rank,12
Math-24b,False,True,skip,add,git,rank,11
Math-25b,False,True,skip,add,git,rank,4
Math-26b,False,True,skip,add,git,rank,14
Math-28b,False,True,skip,add,git,rank,9
Math-3b,False,True,skip,add,git,rank,2
Math-35b,False,True,skip,add,git,rank,3
Math-42b,False,True,skip,add,git,rank,29
Math-45b,False,True,skip,add,git,rank,6
Math-46b,False,True,skip,add,git,rank,12
Math-48b,False,True,skip,add,git,rank,15
Math-50b,False,True,skip,add,git,rank,14
Math-53b,False,True,skip,add,git,rank,5
Math-54b,False,True,skip,add,git,rank,1
Math-55b,False,True,skip,add,git,rank,6
Math-60b,False,True,skip,add,git,rank,28
Math-63b,False,True,skip,add,git,rank,3
Math-64b,False,True,skip,add,git,rank,1
Math-70b,False,True,skip,add,git,rank,1
Math-75b,False,True,skip,add,git,rank,3
Math-79b,False,True,skip,add,git,rank,3
Math-87b,False,True,skip,add,git,rank,44
Math-88b,False,True,skip,add,git,rank,44
Math-89b,False,True,skip,add,git,rank,1
Math-92b,False,True,skip,add,git,rank,2
Math-93b,False,True,skip,add,git,rank,1
Math-94b,False,True,skip,add,git,rank,1
Math-96b,False,True,skip,add,git,rank,4
Math-97b,False,True,skip,add,git,rank,5
Mockito-8b,False,True,skip,add,git,rank,4
Time-1b,False,True,skip,add,git,rank,7
Time-11b,False,True,skip,add,git,rank,8
Time-15b,False,True,skip,add,git,rank,2
Time-16b,False,True,skip,add,git,rank,13
Time-2b,False,True,skip,add,git,rank,2
Time-7b,False,True,skip,add,git,rank,3
Cli-29b,False,True,skip,add,no_diff,rank,2
Closure-10b,False,True,skip,add,no_diff,rank,163
Closure-104b,False,True,skip,add,no_diff,rank,3
Closure-113b,False,True,skip,add,no_diff,rank,275
Closure-115b,False,True,skip,add,no_diff,rank,173
Closure-120b,False,True,skip,add,no_diff,rank,123
Closure-121b,False,True,skip,add,no_diff,rank,483
Closure-128b,False,True,skip,add,no_diff,rank,63
Closure-133b,False,True,skip,add,no_diff,rank,5
Closure-17b,False,True,skip,add,no_diff,rank,363
Closure-2b,False,True,skip,add,no_diff,rank,133
Closure-21b,False,True,skip,add,no_diff,rank,5
Closure-27b,False,True,skip,add,no_diff,rank,1
Closure-30b,False,True,skip,add,no_diff,rank,114
Closure-31b,False,True,skip,add,no_diff,rank,26
Closure-33b,False,True,skip,add,no_diff,rank,438
Closure-48b,False,True,skip,add,no_diff,rank,300
Closure-52b,False,True,skip,add,no_diff,rank,44
Closure-59b,False,True,skip,add,no_diff,rank,85
Closure-60b,False,True,skip,add,no_diff,rank,111
Closure-61b,False,True,skip,add,no_diff,rank,150
Closure-62b,False,True,skip,add,no_diff,rank,4
Closure-64b,False,True,skip,add,no_diff,rank,187
Closure-65b,False,True,skip,add,no_diff,rank,44
Closure-66b,False,True,skip,add,no_diff,rank,12
Closure-68b,False,True,skip,add,no_diff,rank,9
Closure-73b,False,True,skip,add,no_diff,rank,1
Closure-74b,False,True,skip,add,no_diff,rank,51
Closure-76b,False,True,skip,add,no_diff,rank,60
Closure-8b,False,True,skip,add,no_diff,rank,152
Closure-80b,False,True,skip,add,no_diff,rank,8
Closure-82b,False,True,skip,add,no_diff,rank,8
Closure-85b,False,True,skip,add,no_diff,rank,24
Closure-91b,False,True,skip,add,no_diff,rank,16
Closure-92b,False,True,skip,add,no_diff,rank,72
Closure-99b,False,True,skip,add,no_diff,rank,7
Codec-10b,False,True,skip,add,no_diff,rank,3
Codec-18b,False,True,skip,add,no_diff,rank,1
Codec-3b,False,True,skip,add,no_diff,rank,3
Compress-26b,False,True,skip,add,no_diff,rank,2
Compress-39b,False,True,skip,add,no_diff,rank,1
Compress-44b,False,True,skip,add,no_diff,rank,1
Compress-7b,False,True,skip,add,no_diff,rank,1
Compress-8b,False,True,skip,add,no_diff,rank,1
Gson-15b,False,True,skip,add,no_diff,rank,3
JacksonCore-14b,False,True,skip,add,no_diff,rank,8
JacksonCore-4b,False,True,skip,add,no_diff,rank,4
JacksonCore-5b,False,True,skip,add,no_diff,rank,1
JacksonCore-6b,False,True,skip,add,no_diff,rank,1
JacksonCore-8b,False,True,skip,add,no_diff,rank,4
Jsoup-27b,False,True,skip,add,no_diff,rank,6
Jsoup-4b,False,True,skip,add,no_diff,rank,2
Jsoup-85b,False,True,skip,add,no_diff,rank,4
Jsoup-9b,False,True,skip,add,no_diff,rank,7
Lang-13b,False,True,skip,add,no_diff,rank,1
Lang-14b,False,True,skip,add,no_diff,rank,1
Lang-19b,False,True,skip,add,no_diff,rank,2
Lang-21b,False,True,skip,add,no_diff,rank,6
Lang-22b,False,True,skip,add,no_diff,rank,2
Lang-25b,False,True,skip,add,no_diff,rank,1
Lang-26b,False,True,skip,add,no_diff,rank,1
Lang-28b,False,True,skip,add,no_diff,rank,1
Lang-31b,False,True,skip,add,no_diff,rank,1
Lang-39b,False,True,skip,add,no_diff,rank,1
Lang-4b,False,True,skip,add,no_diff,rank,1
Lang-40b,False,True,skip,add,no_diff,rank,1
Lang-43b,False,True,skip,add,no_diff,rank,5
Lang-44b,False,True,skip,add,no_diff,rank,2
Lang-45b,False,True,skip,add,no_diff,rank,1
Lang-46b,False,True,skip,add,no_diff,rank,4
Lang-47b,False,True,skip,add,no_diff,rank,5
Lang-48b,False,True,skip,add,no_diff,rank,5
Lang-49b,False,True,skip,add,no_diff,rank,6
Lang-51b,False,True,skip,add,no_diff,rank,2
Lang-52b,False,True,skip,add,no_diff,rank,2
Lang-53b,False,True,skip,add,no_diff,rank,1
Lang-54b,False,True,skip,add,no_diff,rank,2
Lang-55b,False,True,skip,add,no_diff,rank,1
Lang-57b,False,True,skip,add,no_diff,rank,2
Lang-6b,False,True,skip,add,no_diff,rank,1
Lang-60b,False,True,skip,add,no_diff,rank,4
Lang-61b,False,True,skip,add,no_diff,rank,3
Lang-64b,False,True,skip,add,no_diff,rank,1
Math-10b,False,True,skip,add,no_diff,rank,10
Math-101b,False,True,skip,add,no_diff,rank,1
Math-103b,False,True,skip,add,no_diff,rank,1
Math-104b,False,True,skip,add,no_diff,rank,6
Math-105b,False,True,skip,add,no_diff,rank,6
Math-106b,False,True,skip,add,no_diff,rank,1
Math-14b,False,True,skip,add,no_diff,rank,4
Math-15b,False,True,skip,add,no_diff,rank,37
Math-17b,False,True,skip,add,no_diff,rank,1
Math-2b,False,True,skip,add,no_diff,rank,33
Math-23b,False,True,skip,add,no_diff,rank,9
Math-24b,False,True,skip,add,no_diff,rank,8
Math-25b,False,True,skip,add,no_diff,rank,5
Math-26b,False,True,skip,add,no_diff,rank,21
Math-28b,False,True,skip,add,no_diff,rank,11
Math-3b,False,True,skip,add,no_diff,rank,2
Math-35b,False,True,skip,add,no_diff,rank,3
Math-42b,False,True,skip,add,no_diff,rank,32
Math-45b,False,True,skip,add,no_diff,rank,4
Math-46b,False,True,skip,add,no_diff,rank,11
Math-48b,False,True,skip,add,no_diff,rank,9
Math-50b,False,True,skip,add,no_diff,rank,26
Math-53b,False,True,skip,add,no_diff,rank,5
Math-54b,False,True,skip,add,no_diff,rank,1
Math-55b,False,True,skip,add,no_diff,rank,6
Math-60b,False,True,skip,add,no_diff,rank,29
Math-63b,False,True,skip,add,no_diff,rank,2
Math-64b,False,True,skip,add,no_diff,rank,1
Math-70b,False,True,skip,add,no_diff,rank,4
Math-75b,False,True,skip,add,no_diff,rank,1
Math-79b,False,True,skip,add,no_diff,rank,3
Math-87b,False,True,skip,add,no_diff,rank,44
Math-88b,False,True,skip,add,no_diff,rank,44
Math-89b,False,True,skip,add,no_diff,rank,1
Math-92b,False,True,skip,add,no_diff,rank,7
Math-93b,False,True,skip,add,no_diff,rank,4
Math-94b,False,True,skip,add,no_diff,rank,1
Math-96b,False,True,skip,add,no_diff,rank,5
Math-97b,False,True,skip,add,no_diff,rank,3
Mockito-8b,False,True,skip,add,no_diff,rank,2
Time-1b,False,True,skip,add,no_diff,rank,5
Time-11b,False,True,skip,add,no_diff,rank,8
Time-15b,False,True,skip,add,no_diff,rank,3
Time-16b,False,True,skip,add,no_diff,rank,11
Time-2b,False,True,skip,add,no_diff,rank,2
Time-7b,False,True,skip,add,no_diff,rank,4
Cli-29b,True,True,skip,del,git,rank,2
Closure-10b,True,True,skip,del,git,rank,168
Closure-104b,True,True,skip,del,git,rank,1
Closure-113b,True,True,skip,del,git,rank,6
Closure-115b,True,True,skip,del,git,rank,135
Closure-120b,True,True,skip,del,git,rank,135
Closure-121b,True,True,skip,del,git,rank,158
Closure-128b,True,True,skip,del,git,rank,170
Closure-133b,True,True,skip,del,git,rank,3
Closure-17b,True,True,skip,del,git,rank,360
Closure-2b,True,True,skip,del,git,rank,247
Closure-21b,True,True,skip,del,git,rank,1
Closure-27b,True,True,skip,del,git,rank,1
Closure-30b,True,True,skip,del,git,rank,122
Closure-31b,True,True,skip,del,git,rank,5
Closure-33b,True,True,skip,del,git,rank,18
Closure-48b,True,True,skip,del,git,rank,180
Closure-52b,True,True,skip,del,git,rank,16
Closure-59b,True,True,skip,del,git,rank,63
Closure-60b,True,True,skip,del,git,rank,4
Closure-61b,True,True,skip,del,git,rank,60
Closure-62b,True,True,skip,del,git,rank,5
Closure-64b,True,True,skip,del,git,rank,244
Closure-65b,True,True,skip,del,git,rank,66
Closure-66b,True,True,skip,del,git,rank,21
Closure-68b,True,True,skip,del,git,rank,5
Closure-73b,True,True,skip,del,git,rank,3
Closure-74b,True,True,skip,del,git,rank,71
Closure-76b,True,True,skip,del,git,rank,36
Closure-8b,True,True,skip,del,git,rank,199
Closure-80b,True,True,skip,del,git,rank,22
Closure-82b,True,True,skip,del,git,rank,6
Closure-85b,True,True,skip,del,git,rank,29
Closure-91b,True,True,skip,del,git,rank,18
Closure-92b,True,True,skip,del,git,rank,94
Closure-99b,True,True,skip,del,git,rank,10
Codec-10b,True,True,skip,del,git,rank,2
Codec-18b,True,True,skip,del,git,rank,2
Codec-3b,True,True,skip,del,git,rank,10
Compress-26b,True,True,skip,del,git,rank,2
Compress-39b,True,True,skip,del,git,rank,3
Compress-44b,True,True,skip,del,git,rank,1
Compress-7b,True,True,skip,del,git,rank,2
Compress-8b,True,True,skip,del,git,rank,2
Gson-15b,True,True,skip,del,git,rank,7
JacksonCore-14b,True,True,skip,del,git,rank,3
JacksonCore-4b,True,True,skip,del,git,rank,7
JacksonCore-5b,True,True,skip,del,git,rank,5
JacksonCore-6b,True,True,skip,del,git,rank,3
JacksonCore-8b,True,True,skip,del,git,rank,5
Jsoup-27b,True,True,skip,del,git,rank,3
Jsoup-4b,True,True,skip,del,git,rank,2
Jsoup-85b,True,True,skip,del,git,rank,1
Jsoup-9b,True,True,skip,del,git,rank,4
Lang-13b,True,True,skip,del,git,rank,4
Lang-14b,True,True,skip,del,git,rank,1
Lang-19b,True,True,skip,del,git,rank,4
Lang-21b,True,True,skip,del,git,rank,5
