project,score_mode,use_diff,stage2,use_stopword,adddel,DependentName,DependentValue
Closure-82b,both,True,skip,True,add,num_iters,8
Closure-82b,both,True,skip,True,all-sep,rank,36
Closure-82b,both,True,skip,True,all-sep,num_iters,8
Closure-82b,both,True,skip,True,all-uni,rank,32
Closure-82b,both,True,skip,True,all-uni,num_iters,8
Closure-82b,both,True,skip,True,del,rank,9
Closure-82b,both,True,skip,True,del,num_iters,6
Closure-82b,rank,False,False,False,add,rank,20
Closure-82b,rank,False,False,False,add,num_iters,7
Closure-82b,rank,False,False,False,all-sep,rank,23
Closure-82b,rank,False,False,False,all-sep,num_iters,7
Closure-82b,rank,False,False,False,all-uni,rank,20
Closure-82b,rank,False,False,False,all-uni,num_iters,7
Closure-82b,rank,False,False,False,del,rank,20
Closure-82b,rank,False,False,False,del,num_iters,7
Closure-82b,rank,False,False,True,add,rank,8
Closure-82b,rank,False,False,True,add,num_iters,6
Closure-82b,rank,False,False,True,all-sep,rank,12
Closure-82b,rank,False,False,True,all-sep,num_iters,7
Closure-82b,rank,False,False,True,all-uni,rank,8
Closure-82b,rank,False,False,True,all-uni,num_iters,6
Closure-82b,rank,False,False,True,del,rank,8
Closure-82b,rank,False,False,True,del,num_iters,6
Closure-82b,rank,False,True,False,add,rank,20
Closure-82b,rank,False,True,False,add,num_iters,7
Closure-82b,rank,False,True,False,all-sep,rank,23
Closure-82b,rank,False,True,False,all-sep,num_iters,7
Closure-82b,rank,False,True,False,all-uni,rank,20
Closure-82b,rank,False,True,False,all-uni,num_iters,7
Closure-82b,rank,False,True,False,del,rank,20
Closure-82b,rank,False,True,False,del,num_iters,7
Closure-82b,rank,False,True,True,add,rank,8
Closure-82b,rank,False,True,True,add,num_iters,6
Closure-82b,rank,False,True,True,all-sep,rank,12
Closure-82b,rank,False,True,True,all-sep,num_iters,7
Closure-82b,rank,False,True,True,all-uni,rank,8
Closure-82b,rank,False,True,True,all-uni,num_iters,6
Closure-82b,rank,False,True,True,del,rank,8
Closure-82b,rank,False,True,True,del,num_iters,6
Closure-82b,rank,False,skip,False,add,rank,20
Closure-82b,rank,False,skip,False,add,num_iters,7
Closure-82b,rank,False,skip,False,all-sep,rank,23
Closure-82b,rank,False,skip,False,all-sep,num_iters,7
Closure-82b,rank,False,skip,False,all-uni,rank,20
Closure-82b,rank,False,skip,False,all-uni,num_iters,7
Closure-82b,rank,False,skip,False,del,rank,20
Closure-82b,rank,False,skip,False,del,num_iters,7
Closure-82b,rank,False,skip,True,add,rank,8
Closure-82b,rank,False,skip,True,add,num_iters,6
Closure-82b,rank,False,skip,True,all-sep,rank,12
Closure-82b,rank,False,skip,True,all-sep,num_iters,7
Closure-82b,rank,False,skip,True,all-uni,rank,8
Closure-82b,rank,False,skip,True,all-uni,num_iters,6
Closure-82b,rank,False,skip,True,del,rank,8
Closure-82b,rank,False,skip,True,del,num_iters,6
Closure-82b,rank,True,False,False,add,rank,51
Closure-82b,rank,True,False,False,add,num_iters,8
Closure-82b,rank,True,False,False,all-sep,rank,76
Closure-82b,rank,True,False,False,all-sep,num_iters,8
Closure-82b,rank,True,False,False,all-uni,rank,51
Closure-82b,rank,True,False,False,all-uni,num_iters,8
Closure-82b,rank,True,False,False,del,rank,23
Closure-82b,rank,True,False,False,del,num_iters,7
Closure-82b,rank,True,False,True,add,rank,32
Closure-82b,rank,True,False,True,add,num_iters,8
Closure-82b,rank,True,False,True,all-sep,rank,36
Closure-82b,rank,True,False,True,all-sep,num_iters,7
Closure-82b,rank,True,False,True,all-uni,rank,32
Closure-82b,rank,True,False,True,all-uni,num_iters,8
Closure-82b,rank,True,False,True,del,rank,9
Closure-82b,rank,True,False,True,del,num_iters,6
Closure-82b,rank,True,True,False,add,rank,51
Closure-82b,rank,True,True,False,add,num_iters,8
Closure-82b,rank,True,True,False,all-sep,rank,76
Closure-82b,rank,True,True,False,all-sep,num_iters,8
Closure-82b,rank,True,True,False,all-uni,rank,51
Closure-82b,rank,True,True,False,all-uni,num_iters,8
Closure-82b,rank,True,True,False,del,rank,23
Closure-82b,rank,True,True,False,del,num_iters,7
Closure-82b,rank,True,True,True,add,rank,32
Closure-82b,rank,True,True,True,add,num_iters,8
Closure-82b,rank,True,True,True,all-sep,rank,36
Closure-82b,rank,True,True,True,all-sep,num_iters,7
Closure-82b,rank,True,True,True,all-uni,rank,32
Closure-82b,rank,True,True,True,all-uni,num_iters,8
Closure-82b,rank,True,True,True,del,rank,9
Closure-82b,rank,True,True,True,del,num_iters,6
Closure-82b,rank,True,skip,False,add,rank,53
Closure-82b,rank,True,skip,False,add,num_iters,8
Closure-82b,rank,True,skip,False,all-sep,rank,77
Closure-82b,rank,True,skip,False,all-sep,num_iters,8
Closure-82b,rank,True,skip,False,all-uni,rank,53
Closure-82b,rank,True,skip,False,all-uni,num_iters,8
Closure-82b,rank,True,skip,False,del,rank,23
Closure-82b,rank,True,skip,False,del,num_iters,7
Closure-82b,rank,True,skip,True,add,rank,32
Closure-82b,rank,True,skip,True,add,num_iters,8
Closure-82b,rank,True,skip,True,all-sep,rank,36
Closure-82b,rank,True,skip,True,all-sep,num_iters,7
Closure-82b,rank,True,skip,True,all-uni,rank,32
Closure-82b,rank,True,skip,True,all-uni,num_iters,8
Closure-82b,rank,True,skip,True,del,rank,9
Closure-82b,rank,True,skip,True,del,num_iters,6
Closure-82b,score,False,False,False,add,rank,20
Closure-82b,score,False,False,False,add,num_iters,8
Closure-82b,score,False,False,False,all-sep,rank,23
Closure-82b,score,False,False,False,all-sep,num_iters,7
Closure-82b,score,False,False,False,all-uni,rank,20
Closure-82b,score,False,False,False,all-uni,num_iters,8
Closure-82b,score,False,False,False,del,rank,20
Closure-82b,score,False,False,False,del,num_iters,8
Closure-82b,score,False,False,True,add,rank,8
Closure-82b,score,False,False,True,add,num_iters,7
Closure-82b,score,False,False,True,all-sep,rank,12
Closure-82b,score,False,False,True,all-sep,num_iters,7
Closure-82b,score,False,False,True,all-uni,rank,8
Closure-82b,score,False,False,True,all-uni,num_iters,7
Closure-82b,score,False,False,True,del,rank,8
Closure-82b,score,False,False,True,del,num_iters,7
Closure-82b,score,False,True,False,add,rank,20
Closure-82b,score,False,True,False,add,num_iters,8
Closure-82b,score,False,True,False,all-sep,rank,23
Closure-82b,score,False,True,False,all-sep,num_iters,7
Closure-82b,score,False,True,False,all-uni,rank,20
Closure-82b,score,False,True,False,all-uni,num_iters,8
Closure-82b,score,False,True,False,del,rank,20
Closure-82b,score,False,True,False,del,num_iters,8
Closure-82b,score,False,True,True,add,rank,8
Closure-82b,score,False,True,True,add,num_iters,7
Closure-82b,score,False,True,True,all-sep,rank,12
Closure-82b,score,False,True,True,all-sep,num_iters,7
Closure-82b,score,False,True,True,all-uni,rank,8
Closure-82b,score,False,True,True,all-uni,num_iters,7
Closure-82b,score,False,True,True,del,rank,8
Closure-82b,score,False,True,True,del,num_iters,7
Closure-82b,score,False,skip,False,add,rank,20
Closure-82b,score,False,skip,False,add,num_iters,7
Closure-82b,score,False,skip,False,all-sep,rank,23
Closure-82b,score,False,skip,False,all-sep,num_iters,7
Closure-82b,score,False,skip,False,all-uni,rank,20
Closure-82b,score,False,skip,False,all-uni,num_iters,7
Closure-82b,score,False,skip,False,del,rank,20
Closure-82b,score,False,skip,False,del,num_iters,7
Closure-82b,score,False,skip,True,add,rank,8
Closure-82b,score,False,skip,True,add,num_iters,7
Closure-82b,score,False,skip,True,all-sep,rank,12
Closure-82b,score,False,skip,True,all-sep,num_iters,7
Closure-82b,score,False,skip,True,all-uni,rank,8
Closure-82b,score,False,skip,True,all-uni,num_iters,7
Closure-82b,score,False,skip,True,del,rank,8
Closure-82b,score,False,skip,True,del,num_iters,7
Closure-82b,score,True,False,False,add,rank,51
Closure-82b,score,True,False,False,add,num_iters,7
Closure-82b,score,True,False,False,all-sep,rank,76
Closure-82b,score,True,False,False,all-sep,num_iters,7
Closure-82b,score,True,False,False,all-uni,rank,51
Closure-82b,score,True,False,False,all-uni,num_iters,7
Closure-82b,score,True,False,False,del,rank,23
Closure-82b,score,True,False,False,del,num_iters,7
Closure-82b,score,True,False,True,add,rank,32
Closure-82b,score,True,False,True,add,num_iters,7
Closure-82b,score,True,False,True,all-sep,rank,36
Closure-82b,score,True,False,True,all-sep,num_iters,7
Closure-82b,score,True,False,True,all-uni,rank,32
Closure-82b,score,True,False,True,all-uni,num_iters,7
Closure-82b,score,True,False,True,del,rank,9
Closure-82b,score,True,False,True,del,num_iters,7
Closure-82b,score,True,True,False,add,rank,51
Closure-82b,score,True,True,False,add,num_iters,7
Closure-82b,score,True,True,False,all-sep,rank,76
Closure-82b,score,True,True,False,all-sep,num_iters,7
Closure-82b,score,True,True,False,all-uni,rank,51
Closure-82b,score,True,True,False,all-uni,num_iters,7
Closure-82b,score,True,True,False,del,rank,23
Closure-82b,score,True,True,False,del,num_iters,7
Closure-82b,score,True,True,True,add,rank,32
Closure-82b,score,True,True,True,add,num_iters,7
Closure-82b,score,True,True,True,all-sep,rank,36
Closure-82b,score,True,True,True,all-sep,num_iters,7
Closure-82b,score,True,True,True,all-uni,rank,32
Closure-82b,score,True,True,True,all-uni,num_iters,7
Closure-82b,score,True,True,True,del,rank,9
Closure-82b,score,True,True,True,del,num_iters,7
Closure-82b,score,True,skip,False,add,rank,53
Closure-82b,score,True,skip,False,add,num_iters,7
Closure-82b,score,True,skip,False,all-sep,rank,77
Closure-82b,score,True,skip,False,all-sep,num_iters,7
Closure-82b,score,True,skip,False,all-uni,rank,53
Closure-82b,score,True,skip,False,all-uni,num_iters,7
Closure-82b,score,True,skip,False,del,rank,23
Closure-82b,score,True,skip,False,del,num_iters,7
Closure-82b,score,True,skip,True,add,rank,32
Closure-82b,score,True,skip,True,add,num_iters,7
Closure-82b,score,True,skip,True,all-sep,rank,36
Closure-82b,score,True,skip,True,all-sep,num_iters,7
Closure-82b,score,True,skip,True,all-uni,rank,32
Closure-82b,score,True,skip,True,all-uni,num_iters,7
Closure-82b,score,True,skip,True,del,rank,9
Closure-82b,score,True,skip,True,del,num_iters,7
Compress-44b,both,False,False,False,add,rank,1
Compress-44b,both,False,False,False,add,num_iters,0
Compress-44b,both,False,False,False,all-sep,rank,1
Compress-44b,both,False,False,False,all-sep,num_iters,0
Compress-44b,both,False,False,False,all-uni,rank,1
Compress-44b,both,False,False,False,all-uni,num_iters,0
Compress-44b,both,False,False,False,del,rank,1
Compress-44b,both,False,False,False,del,num_iters,0
Compress-44b,both,False,False,True,add,rank,1
Compress-44b,both,False,False,True,add,num_iters,0
Compress-44b,both,False,False,True,all-sep,rank,1
Compress-44b,both,False,False,True,all-sep,num_iters,0
Compress-44b,both,False,False,True,all-uni,rank,1
Compress-44b,both,False,False,True,all-uni,num_iters,0
Compress-44b,both,False,False,True,del,rank,1
Compress-44b,both,False,False,True,del,num_iters,0
Compress-44b,both,False,True,False,add,rank,1
Compress-44b,both,False,True,False,add,num_iters,0
Compress-44b,both,False,True,False,all-sep,rank,1
Compress-44b,both,False,True,False,all-sep,num_iters,0
Compress-44b,both,False,True,False,all-uni,rank,1
Compress-44b,both,False,True,False,all-uni,num_iters,0
Compress-44b,both,False,True,False,del,rank,1
Compress-44b,both,False,True,False,del,num_iters,0
Compress-44b,both,False,True,True,add,rank,1
Compress-44b,both,False,True,True,add,num_iters,0
Compress-44b,both,False,True,True,all-sep,rank,1
Compress-44b,both,False,True,True,all-sep,num_iters,0
Compress-44b,both,False,True,True,all-uni,rank,1
Compress-44b,both,False,True,True,all-uni,num_iters,0
Compress-44b,both,False,True,True,del,rank,1
Compress-44b,both,False,True,True,del,num_iters,0
Compress-44b,both,False,skip,False,add,rank,1
Compress-44b,both,False,skip,False,add,num_iters,0
Compress-44b,both,False,skip,False,all-sep,rank,1
Compress-44b,both,False,skip,False,all-sep,num_iters,0
Compress-44b,both,False,skip,False,all-uni,rank,1
Compress-44b,both,False,skip,False,all-uni,num_iters,0
Compress-44b,both,False,skip,False,del,rank,1
Compress-44b,both,False,skip,False,del,num_iters,0
Compress-44b,both,False,skip,True,add,rank,1
Compress-44b,both,False,skip,True,add,num_iters,0
Compress-44b,both,False,skip,True,all-sep,rank,1
Compress-44b,both,False,skip,True,all-sep,num_iters,0
Compress-44b,both,False,skip,True,all-uni,rank,1
Compress-44b,both,False,skip,True,all-uni,num_iters,0
Compress-44b,both,False,skip,True,del,rank,1
Compress-44b,both,False,skip,True,del,num_iters,0
Compress-44b,both,True,False,False,add,rank,1
Compress-44b,both,True,False,False,add,num_iters,0
Compress-44b,both,True,False,False,all-sep,rank,1
Compress-44b,both,True,False,False,all-sep,num_iters,0
Compress-44b,both,True,False,False,all-uni,rank,1
Compress-44b,both,True,False,False,all-uni,num_iters,0
Compress-44b,both,True,False,False,del,rank,1
Compress-44b,both,True,False,False,del,num_iters,0
Compress-44b,both,True,False,True,add,rank,1
Compress-44b,both,True,False,True,add,num_iters,0
Compress-44b,both,True,False,True,all-sep,rank,1
Compress-44b,both,True,False,True,all-sep,num_iters,0
Compress-44b,both,True,False,True,all-uni,rank,1
Compress-44b,both,True,False,True,all-uni,num_iters,0
Compress-44b,both,True,False,True,del,rank,1
Compress-44b,both,True,False,True,del,num_iters,0
Compress-44b,both,True,True,False,add,rank,1
Compress-44b,both,True,True,False,add,num_iters,0
Compress-44b,both,True,True,False,all-sep,rank,1
Compress-44b,both,True,True,False,all-sep,num_iters,0
Compress-44b,both,True,True,False,all-uni,rank,1
Compress-44b,both,True,True,False,all-uni,num_iters,0
Compress-44b,both,True,True,False,del,rank,1
Compress-44b,both,True,True,False,del,num_iters,0
Compress-44b,both,True,True,True,add,rank,1
Compress-44b,both,True,True,True,add,num_iters,0
Compress-44b,both,True,True,True,all-sep,rank,1
Compress-44b,both,True,True,True,all-sep,num_iters,0
Compress-44b,both,True,True,True,all-uni,rank,1
Compress-44b,both,True,True,True,all-uni,num_iters,0
Compress-44b,both,True,True,True,del,rank,1
Compress-44b,both,True,True,True,del,num_iters,0
Compress-44b,both,True,skip,False,add,rank,1
Compress-44b,both,True,skip,False,add,num_iters,0
Compress-44b,both,True,skip,False,all-sep,rank,1
Compress-44b,both,True,skip,False,all-sep,num_iters,0
Compress-44b,both,True,skip,False,all-uni,rank,1
Compress-44b,both,True,skip,False,all-uni,num_iters,0
Compress-44b,both,True,skip,False,del,rank,1
Compress-44b,both,True,skip,False,del,num_iters,0
Compress-44b,both,True,skip,True,add,rank,1
Compress-44b,both,True,skip,True,add,num_iters,0
Compress-44b,both,True,skip,True,all-sep,rank,1
Compress-44b,both,True,skip,True,all-sep,num_iters,0
Compress-44b,both,True,skip,True,all-uni,rank,1
Compress-44b,both,True,skip,True,all-uni,num_iters,0
Compress-44b,both,True,skip,True,del,rank,1
Compress-44b,both,True,skip,True,del,num_iters,0
Compress-44b,rank,False,False,False,add,rank,1
Compress-44b,rank,False,False,False,add,num_iters,0
Compress-44b,rank,False,False,False,all-sep,rank,1
Compress-44b,rank,False,False,False,all-sep,num_iters,0
Compress-44b,rank,False,False,False,all-uni,rank,1
Compress-44b,rank,False,False,False,all-uni,num_iters,0
Compress-44b,rank,False,False,False,del,rank,1
Compress-44b,rank,False,False,False,del,num_iters,0
Compress-44b,rank,False,False,True,add,rank,1
Compress-44b,rank,False,False,True,add,num_iters,0
Compress-44b,rank,False,False,True,all-sep,rank,1
Compress-44b,rank,False,False,True,all-sep,num_iters,0
Compress-44b,rank,False,False,True,all-uni,rank,1
Compress-44b,rank,False,False,True,all-uni,num_iters,0
Compress-44b,rank,False,False,True,del,rank,1
Compress-44b,rank,False,False,True,del,num_iters,0
Compress-44b,rank,False,True,False,add,rank,1
Compress-44b,rank,False,True,False,add,num_iters,0
Compress-44b,rank,False,True,False,all-sep,rank,1
Compress-44b,rank,False,True,False,all-sep,num_iters,0
Compress-44b,rank,False,True,False,all-uni,rank,1
Compress-44b,rank,False,True,False,all-uni,num_iters,0
Compress-44b,rank,False,True,False,del,rank,1
Compress-44b,rank,False,True,False,del,num_iters,0
Compress-44b,rank,False,True,True,add,rank,1
Compress-44b,rank,False,True,True,add,num_iters,0
Compress-44b,rank,False,True,True,all-sep,rank,1
Compress-44b,rank,False,True,True,all-sep,num_iters,0
Compress-44b,rank,False,True,True,all-uni,rank,1
Compress-44b,rank,False,True,True,all-uni,num_iters,0
Compress-44b,rank,False,True,True,del,rank,1
Compress-44b,rank,False,True,True,del,num_iters,0
Compress-44b,rank,False,skip,False,add,rank,1
Compress-44b,rank,False,skip,False,add,num_iters,0
Compress-44b,rank,False,skip,False,all-sep,rank,1
Compress-44b,rank,False,skip,False,all-sep,num_iters,0
Compress-44b,rank,False,skip,False,all-uni,rank,1
Compress-44b,rank,False,skip,False,all-uni,num_iters,0
Compress-44b,rank,False,skip,False,del,rank,1
Compress-44b,rank,False,skip,False,del,num_iters,0
Compress-44b,rank,False,skip,True,add,rank,1
Compress-44b,rank,False,skip,True,add,num_iters,0
Compress-44b,rank,False,skip,True,all-sep,rank,1
Compress-44b,rank,False,skip,True,all-sep,num_iters,0
Compress-44b,rank,False,skip,True,all-uni,rank,1
Compress-44b,rank,False,skip,True,all-uni,num_iters,0
Compress-44b,rank,False,skip,True,del,rank,1
Compress-44b,rank,False,skip,True,del,num_iters,0
Compress-44b,rank,True,False,False,add,rank,1
Compress-44b,rank,True,False,False,add,num_iters,0
Compress-44b,rank,True,False,False,all-sep,rank,1
Compress-44b,rank,True,False,False,all-sep,num_iters,0
Compress-44b,rank,True,False,False,all-uni,rank,1
Compress-44b,rank,True,False,False,all-uni,num_iters,0
Compress-44b,rank,True,False,False,del,rank,1
Compress-44b,rank,True,False,False,del,num_iters,0
Compress-44b,rank,True,False,True,add,rank,1
Compress-44b,rank,True,False,True,add,num_iters,0
Compress-44b,rank,True,False,True,all-sep,rank,1
Compress-44b,rank,True,False,True,all-sep,num_iters,0
Compress-44b,rank,True,False,True,all-uni,rank,1
Compress-44b,rank,True,False,True,all-uni,num_iters,0
Compress-44b,rank,True,False,True,del,rank,1
Compress-44b,rank,True,False,True,del,num_iters,0
Compress-44b,rank,True,True,False,add,rank,1
Compress-44b,rank,True,True,False,add,num_iters,0
Compress-44b,rank,True,True,False,all-sep,rank,1
Compress-44b,rank,True,True,False,all-sep,num_iters,0
Compress-44b,rank,True,True,False,all-uni,rank,1
Compress-44b,rank,True,True,False,all-uni,num_iters,0
Compress-44b,rank,True,True,False,del,rank,1
Compress-44b,rank,True,True,False,del,num_iters,0
Compress-44b,rank,True,True,True,add,rank,1
Compress-44b,rank,True,True,True,add,num_iters,0
Compress-44b,rank,True,True,True,all-sep,rank,1
Compress-44b,rank,True,True,True,all-sep,num_iters,0
Compress-44b,rank,True,True,True,all-uni,rank,1
Compress-44b,rank,True,True,True,all-uni,num_iters,0
Compress-44b,rank,True,True,True,del,rank,1
Compress-44b,rank,True,True,True,del,num_iters,0
Compress-44b,rank,True,skip,False,add,rank,1
Compress-44b,rank,True,skip,False,add,num_iters,0
Compress-44b,rank,True,skip,False,all-sep,rank,1
Compress-44b,rank,True,skip,False,all-sep,num_iters,0
Compress-44b,rank,True,skip,False,all-uni,rank,1
Compress-44b,rank,True,skip,False,all-uni,num_iters,0
Compress-44b,rank,True,skip,False,del,rank,1
Compress-44b,rank,True,skip,False,del,num_iters,0
Compress-44b,rank,True,skip,True,add,rank,1
Compress-44b,rank,True,skip,True,add,num_iters,0
Compress-44b,rank,True,skip,True,all-sep,rank,1
Compress-44b,rank,True,skip,True,all-sep,num_iters,0
Compress-44b,rank,True,skip,True,all-uni,rank,1
Compress-44b,rank,True,skip,True,all-uni,num_iters,0
Compress-44b,rank,True,skip,True,del,rank,1
Compress-44b,rank,True,skip,True,del,num_iters,0
Compress-44b,score,False,False,False,add,rank,1
Compress-44b,score,False,False,False,add,num_iters,0
Compress-44b,score,False,False,False,all-sep,rank,1
Compress-44b,score,False,False,False,all-sep,num_iters,0
Compress-44b,score,False,False,False,all-uni,rank,1
Compress-44b,score,False,False,False,all-uni,num_iters,0
Compress-44b,score,False,False,False,del,rank,1
Compress-44b,score,False,False,False,del,num_iters,0
Compress-44b,score,False,False,True,add,rank,1
Compress-44b,score,False,False,True,add,num_iters,0
Compress-44b,score,False,False,True,all-sep,rank,1
Compress-44b,score,False,False,True,all-sep,num_iters,0
Compress-44b,score,False,False,True,all-uni,rank,1
Compress-44b,score,False,False,True,all-uni,num_iters,0
Compress-44b,score,False,False,True,del,rank,1
Compress-44b,score,False,False,True,del,num_iters,0
Compress-44b,score,False,True,False,add,rank,1
Compress-44b,score,False,True,False,add,num_iters,0
Compress-44b,score,False,True,False,all-sep,rank,1
Compress-44b,score,False,True,False,all-sep,num_iters,0
Compress-44b,score,False,True,False,all-uni,rank,1
Compress-44b,score,False,True,False,all-uni,num_iters,0
Compress-44b,score,False,True,False,del,rank,1
Compress-44b,score,False,True,False,del,num_iters,0
Compress-44b,score,False,True,True,add,rank,1
Compress-44b,score,False,True,True,add,num_iters,0
Compress-44b,score,False,True,True,all-sep,rank,1
Compress-44b,score,False,True,True,all-sep,num_iters,0
Compress-44b,score,False,True,True,all-uni,rank,1
Compress-44b,score,False,True,True,all-uni,num_iters,0
Compress-44b,score,False,True,True,del,rank,1
Compress-44b,score,False,True,True,del,num_iters,0
Compress-44b,score,False,skip,False,add,rank,1
Compress-44b,score,False,skip,False,add,num_iters,0
Compress-44b,score,False,skip,False,all-sep,rank,1
Compress-44b,score,False,skip,False,all-sep,num_iters,0
Compress-44b,score,False,skip,False,all-uni,rank,1
Compress-44b,score,False,skip,False,all-uni,num_iters,0
Compress-44b,score,False,skip,False,del,rank,1
Compress-44b,score,False,skip,False,del,num_iters,0
Compress-44b,score,False,skip,True,add,rank,1
Compress-44b,score,False,skip,True,add,num_iters,0
Compress-44b,score,False,skip,True,all-sep,rank,1
Compress-44b,score,False,skip,True,all-sep,num_iters,0
Compress-44b,score,False,skip,True,all-uni,rank,1
Compress-44b,score,False,skip,True,all-uni,num_iters,0
Compress-44b,score,False,skip,True,del,rank,1
Compress-44b,score,False,skip,True,del,num_iters,0
Compress-44b,score,True,False,False,add,rank,1
Compress-44b,score,True,False,False,add,num_iters,0
Compress-44b,score,True,False,False,all-sep,rank,1
Compress-44b,score,True,False,False,all-sep,num_iters,0
Compress-44b,score,True,False,False,all-uni,rank,1
Compress-44b,score,True,False,False,all-uni,num_iters,0
Compress-44b,score,True,False,False,del,rank,1
Compress-44b,score,True,False,False,del,num_iters,0
Compress-44b,score,True,False,True,add,rank,1
Compress-44b,score,True,False,True,add,num_iters,0
Compress-44b,score,True,False,True,all-sep,rank,1
Compress-44b,score,True,False,True,all-sep,num_iters,0
Compress-44b,score,True,False,True,all-uni,rank,1
Compress-44b,score,True,False,True,all-uni,num_iters,0
Compress-44b,score,True,False,True,del,rank,1
Compress-44b,score,True,False,True,del,num_iters,0
Compress-44b,score,True,True,False,add,rank,1
Compress-44b,score,True,True,False,add,num_iters,0
Compress-44b,score,True,True,False,all-sep,rank,1
Compress-44b,score,True,True,False,all-sep,num_iters,0
Compress-44b,score,True,True,False,all-uni,rank,1
Compress-44b,score,True,True,False,all-uni,num_iters,0
Compress-44b,score,True,True,False,del,rank,1
Compress-44b,score,True,True,False,del,num_iters,0
Compress-44b,score,True,True,True,add,rank,1
